# CdTe: Lattice plane Wavelength Gain 
[1 1 1] 0.758 0.00799616050461812
# CdTe: Lattice plane Wavelength Gain 
[2 2 0] 0.46420000000000006 0.010773526952381105
# CdTe: Lattice plane Wavelength Gain 
[3 1 1] 0.39580000000000004 0.02932704695522929
# CdTe: Lattice plane Wavelength Gain 
[4 0 0] 0.32820000000000005 0.02155217085607647
# CdTe: Lattice plane Wavelength Gain 
[3 3 1] 0.3012 0.05064189858731756
# CdTe: Lattice plane Wavelength Gain 
[4 2 2] 0.268 0.03232202684733907
# CdTe: Lattice plane Wavelength Gain 
[5 1 1] 0.2526 0.07200343606500961
# CdTe: Lattice plane Wavelength Gain 
[4 4 0] 0.23199999999999998 0.04313126590894922
# CdTe: Lattice plane Wavelength Gain 
[5 3 1] 0.22200000000000003 0.09322104464279295
# CdTe: Lattice plane Wavelength Gain 
[6 2 0] 0.2076 0.053865844913593745
# CdTe: Lattice plane Wavelength Gain 
[5 3 3] 0.2002 0.11462827792026702
# CdTe: Lattice plane Wavelength Gain 
[4 4 4] 0.1894 0.0647154872521151
# CdTe: Lattice plane Wavelength Gain 
[7 1 1] 0.18380000000000002 0.1359968659509322
# CdTe: Lattice plane Wavelength Gain 
[6 4 2] 0.1754 0.07545864400780891
# CdTe: Lattice plane Wavelength Gain 
[5 5 3] 0.171 0.15711863356846228
# CdTe: Lattice plane Wavelength Gain 
[8 0 0] 0.1642 0.08610371091236593
# CdTe: Lattice plane Wavelength Gain 
[7 3 3] 0.16040000000000001 0.17857110513054208
# CdTe: Lattice plane Wavelength Gain 
[8 2 2] 0.15480000000000002 0.09687824484219373
