# Material Wavelength Gain
CdTe 0.7480000000000001 8.211390739253705 
InSb 0.7480000000000001 8.238119416078057 
PbTe 0.746 188.2179096090417 
GaSb 0.7040000000000001 9.148721548688947 
InAs 0.7000000000000001 9.022805536392907 
CdSe 0.6990000000000001 8.955302788477407 
PbS 0.686 8.416818629133823 
InP 0.678 10.386921630317994 
CdS 0.673 10.574929065305877 
AlAs 0.654 19.249609170924845 
Ge 0.654 11.722093936097513 
GaAs 0.652 11.656139182009653 
AlP 0.629 52.72601762483239 
GaP 0.629 16.736263195324646 
Si 0.627 51.94812632907444 
ZnS 0.626 16.986167515692696 
CrO 0.514 38.557321380741996 
FeO 0.492 25.10855014301761 
MnO 0.514 33.80528791504929 
CuO 0.488 17.707461736505827 
CuO440 0.15000000000000002 58.31420745119328 
ScN 0.521 54.56907698407885 
TiN 0.49000000000000005 36.50446606998866 
VN 0.476 28.179350212518493 
CrN 0.484 26.39484925324174 
MnN 0.47800000000000004 22.258315317929934 
FeN 0.485 10.091735559370537 
CoN 0.48700000000000004 9.590989466874664 
GaN 0.493 7.75253016987708 
NiO 0.484 18.80588048654064 
MgO 0.48600000000000004 465.51001380487435 
CaO 0.555 101.91264011971727 
SrO 0.597 29.070434294095463 
BaO 0.6440000000000001 10.787524937146543 
Li2O 0.492 294.34491789703884 
LaN 0.6120000000000001 7.93821687568338 
GdN 0.5750000000000001 4.838858502846509 
HoN 0.561 4.017463302729374 
LuN 0.545 3.264591088850776 
