# MgO: Lattice plane Wavelength Gain 
[1 1 1] 0.48419999999999996 0.4689774879614067
# MgO: Lattice plane Wavelength Gain 
[2 0 0] 0.4194 0.024114898244556947
# MgO: Lattice plane Wavelength Gain 
[2 2 0] 0.29660000000000003 0.04821697856657263
# MgO: Lattice plane Wavelength Gain 
[3 1 1] 0.253 1.7177522414138038
# MgO: Lattice plane Wavelength Gain 
[2 2 2] 0.24220000000000003 0.07230927519939981
# MgO: Lattice plane Wavelength Gain 
[4 0 0] 0.2098 0.09636766103874767
# MgO: Lattice plane Wavelength Gain 
[3 3 1] 0.19240000000000002 2.9702392370758295
# MgO: Lattice plane Wavelength Gain 
[4 2 0] 0.1876 0.12052485505919117
# MgO: Lattice plane Wavelength Gain 
[4 2 2] 0.17120000000000002 0.14472206985148672
# MgO: Lattice plane Wavelength Gain 
[5 1 1] 0.16140000000000002 4.220797391652658
